Bolagsnamn,Bransch,PE,PS,PB
Tele2 B,Bredband & Telefoni,36.84725189,3.465010881,2.753591061
Telia Company,Bredband & Telefoni,20.5440197,1.695034981,1.600440025
TietoEVRY,IT-Konsulter,19.49884987,0.879774272,0.910561383
TradeDoubler,Marknadsföring,-6.961537838,0.06739749,0.350161701
Viking Supply,Sjöfart & Rederi,9.865117073,1.017827034,0.252205014
Trelleborg,Kemikalier,-147.2550964,0.800887823,1.002974033
Agromino,Jordbruk,7.366597176,0.504450321,0.368745804
Kindred,Betting & Casino,12.38687038,0.768067718,2.996119976
VBG,Industrikomponenter,10.4357996,0.838970304,1.287433028
Venue Retail Group,Accessoarer,-0.673109472,0.034509171,1.694198012
Vitrolife,Medicinsk Utrustning,44.52259064,11.51406956,9.499515533
Volvo B,Industrimaskiner,6.65704298,0.552636683,1.722486019
Wallenstam,Fastighetsbolag,11.65384007,15.7434597,1.340628982
Wihlborgs,Fastighetsbolag,7.17298317,7.028691769,1.17216897
XANO Industri,Industrikomponenter,16.32638931,1.250555992,3.326478958
ÅF,Affärskonsulter,18.97966003,0.787301779,1.663352013
Karolinska Development,Investmentbolag,0.802204311,71.82195282,0.241180703
Boule Diagnostics,Medicinsk Utrustning,33.18367004,2.494153976,3.737859964
Dedicare,Bemanning,15.40044975,0.523929775,4.367019176
Moberg Pharma,Läkemedel,13.46138,0.767560422,0.253430307
Concentric,Industrikomponenter,11.91714001,1.90128696,3.367419958
Cavotec,Industrimaskiner,18.05462074,0.72079128,1.323513031
Micro Systemation,Elektronisk Utrustning,84.9697876,1.353217959,5.469777107
Vitec Software,Affärs- & IT-System,57.62411118,4.546111107,7.752048969
Semafo,Gruv - Guld & Silver,16.79701042,1.771801949,1.056135058
Bulten,Industrikomponenter,18.21755028,0.312154591,0.651920378
Moment Group,Resor & Nöjen,-1.003509045,0.065079957,0.641406596
ADDvise Group A,Hälsovård & Hjälpmedel,43.06219864,0.488219887,2.076632977
Arctic Minerals,Gruv - Guld & Silver,-8.883554459,26.36776924,0.881878674
Avensia,Betalning & E-handel,21.43684959,1.302096009,6.370940208
Avtech,Affärs- & IT-System,96.4539032,3.623245001,2.657881975
Bredband2,Bredband & Telefoni,23.31605911,1.411134005,12.01488972
C-RAD,Medicinsk Utrustning,-69.41335297,4.663582802,11.49940014
Catella B,Kapitalförvaltning,13.85918999,0.647107482,1.028908968
Auriant Mining,Gruv - Guld & Silver,-66.9421463,1.418941975,-1.562137008
Confidence,Säkerhet,-1.659242034,0.307041407,1.350159049
DistIT,Datorer & Hårdvara,9.748901367,0.160183996,0.944291413
Diadrom,IT-Konsulter,8.395935059,0.910729289,3.068485022
Dignitana,Medicinsk Utrustning,-9.235209465,8.255363464,6.374227047
Drillcon,Gruv - Service,6.751360893,0.633260012,1.499086976
Ellen,Biotech,-5.656933784,1.84157896,4.896402836
Kakel Max,Byggmaterial,7.156108856,0.218466595,0.785388827
Endomines,Gruv - Guld & Silver,-5.309045792,70.20366669,1.211755037
Eolus Vind,Vindkraft,16.19021988,1.226382017,3.027883053
Episurf,Medicinsk Utrustning,-1.225396037,15.83808041,2.065835953
Firefly,Affärs- & IT-System,13.87755013,0.942046821,4.93909502
Vertical Ventures,Bredband & Telefoni,-1.325443983,4.15226078,11.08854961
Generic Sweden,Säkerhet & Bevakning,30.17181015,3.79876709,12.63477993
Genovis,Biotech,144.7454987,21.92815018,38.79534149
Binero Group,Affärs- & IT-System,-6.867249012,8.544268608,1.161033034
Götenehus Group,Bostadsbyggnation,9.289909363,0.39180249,1.126911998
Hansa Biopharma,Biotech,-11.07923985,1185.668945,7.08686018
Stendörren,Fastighetsbolag,9.293354034,4.552449226,0.701835871
Hifab,Affärskonsulter,-10.64789009,0.321993291,1.929258943
Impact Coatings,Industrimaskiner,-18.61450958,12.47653961,4.814926147
Invisio Communications,Kommunikation,45.14085007,8.926025391,12.53057957
Northbaze,Elektronisk Utrustning,-1.751618028,0.339793086,0.777212381
JLT Mobile,Datorer & Hårdvara,12.96737957,0.997394383,2.411787987
Kancera,Biotech,-1.817180991,11.80679989,3.764564991
Kopy Goldfields,Gruv - Guld & Silver,-29.41176033,13.32717037,0.904916883
Lucara Diamond,Gruv - Ädelstenar,11.65694046,0.769674897,0.625462472
Mackmyra,Bryggeri,-7.718843937,1.639621019,1.033879995
MedCap,Investmentbolag,45.01623917,3.253789902,7.534521103
Modern Ekonomi,Affärskonsulter,-6.531530857,0.321589798,3.448605061
Misen Energy,Olja & Gas - Exploatering,-16.24087906,4.599427223,-3.692248106
NetJobs,Bemanning,-1.025773048,0.200108901,-3.911547899
New Nordic Healthbrands,Hälsoprodukter,13.6814003,0.848605812,3.768655062
Nischer,Fastighetsbolag,-3.239255905,0.37955749,1.611170053
Online Brands Nordic,Accessoarer,-0.851393223,0.158144295,1.598816991
OPUS Prodox,Bil & Motor,870.666687,0.702711284,1.950703979
Saxlund,Energi & Återvinning,-8.389262199,0.762039423,-9.810694695
PledPharma,Biotech,-5.698915005,4.239531994,1.429394007
Precio Fishbone,IT-Konsulter,17.83414078,1.351776958,3.286600113
Precomp Solutions,Industrikomponenter,-4.514824867,0.096320502,1.143645048
ENLABS,Betting & Casino,9.937496185,2.367172003,2.343565941
ScandBook,Media & Publicering,8.446738243,0.171723902,0.278909713
ShaMaran,Olja & Gas - Exploatering,-4.679376125,0.861920774,0.42624861
SJR,Bemanning,10.51832962,0.458392113,3.466641903
Skåne-möllan,Livsmedel,34.10874176,2.248338938,3.136137009
Allgon,Kommunikation,9.87425518,0.728856623,1.28046
Stille,Medicinsk Utrustning,23.42365074,3.420551062,5.201879025
TagMaster,Kommunikation,-6.978922844,0.667687178,0.881498992
Tethys Oil,Olja & Gas - Exploatering,4.230892181,1.074552059,0.586472929
Unlimited Travel Group,Resor & Nöjen,6.798161983,0.045829911,0.956959307
Nordic Flanges,Industrikomponenter,-1.724684,0.135650203,0.523914218
WeSC,Kläder & Skor,-0.867256582,0.765964925,-5.988451958
Westpay,Säkerhet,-3.35235405,1.251302004,2.368103027
Wise Group,Bemanning,-218.0377045,0.174398303,1.585962057
ZetaDisplay,Marknadsföring,28.1255703,0.94862479,1.573825002
ALM Equtiy,Fastighetsbolag,11.39700985,1.884806991,0.957208514
Mangold,Kapitalförvaltning,34.99554825,2.553911924,3.793457031
Platzer,Fastighetsbolag,5.631443977,7.319815159,0.961602688
aXichem,Kemikalier,-65.19534302,2387.327881,12.19367027
Sportamore,Detaljhandel,-29.94171906,0.417549312,1.972244024
Nexam,Kemikalier,-23.73418045,2.97853899,2.618673086
Xvivo Perfusion,Medicinsk Utrustning,288.6784058,15.50158978,5.778075218
Bufab,Industrikomponenter,12.18789959,0.709184527,1.762019992
Bactiguard,Medicinsk Utrustning,280.6802063,23.06431007,11.79850006
Recipharm,Läkemedel,21.90703964,0.974958479,1.320865035
Scandi Standard,Livsmedel,17.15317917,0.406554192,2.319324017
Arctic Paper,Skogsbolag,2.195980072,0.087836072,0.314516515
Besqab,Bostadsbyggnation,13.83819008,1.157971025,1.086258054
G5 Entertainment,Gaming & Spel,23.58340073,0.861212671,2.753863096
NeuroVive Pharmaceutical,Biotech,-1.755555987,37.19499969,1.057724953
Oscar Properties,Fastighetsbolag,-20.81911087,0.049168158,0.03667891
Starbreeze B,Gaming & Spel,-1.310830951,1.858814955,84.51965332
Cell Impact,Industrimaskiner,-14.44966984,58.27790833,15.50632
BIMobject,Affärs- & IT-System,-8.007167816,7.279589176,6.711883068
Delarka,Fastighetsbolag,6.308625221,8.059640884,1.271190047
Immunicum,Biotech,-5.404102802,810.9937744,2.654941082
Polyplank,Energi & Återvinning,-7.081544876,1.303336024,4.881478786
Fastator,Fastighetsbolag,2.223659039,5.276686192,0.812278211
Ages Industri,Industrikomponenter,-1.693601966,0.214658096,0.642051876
Brighter,Medicinsk Utrustning,-4.179615974,9.903637886,1.804033041
Clavister,Kommunikation,-2.085180044,2.384690046,-6.969532013
Cortus Energy,Bioenergi,-11.97916985,417.2461853,14.10336018
Dome Energy,Olja & Gas - Exploatering,-0.306742609,0.332369208,1.292662978
Doxa,Biotech,-12.02375031,6.758059978,15.26257992
Hanza,Affärskonsulter,15.38251972,0.175563395,0.729380071
Heliospectra,Elektronisk Utrustning,-4.910309792,9.454051971,4.181081772
Hexatronic,Elektroniska komponenter,24.7884903,0.895561576,2.894220114
Kallebäck Property,Fastighetsbolag,7.132425785,7.655310154,1.063483953
Kambi,Betting & Casino,28.39728928,3.214976072,4.135916233
Kentima,Säkerhet & Bevakning,-37.18412018,0.572916389,1.128442049
Mavshack,Media & Publicering,-2.217143059,1.828384995,1.497377038
Irisity,Säkerhet & Bevakning,-12.06083012,4.151399136,2.439214945
myFC Holding,Förnybarenergi,-0.637704313,22.33459091,1.795032024
New Equity Venture,Investmentbolag,31.09789085,2.069947004,0.464617789
Nicoccino,Tobak,-11.3968401,642.1071167,6.102850914
Clemondo,Kemikalier,-46.34146118,0.705683827,6.118618011
ScandiDos,Medicinsk Utrustning,-10.33460045,1.610249996,2.020442963
Scandinavian Enviro,Energi & Återvinning,-3.830806017,144.3917999,1.077023029
Advenica,Säkerhet & Bevakning,-1.854801059,1.056552052,3.127619982
Speqta,Internettjänster,-189.2156982,1.281075001,1.584730029
DDM Holding,Kredit & Finansiering,-9.291521072,1.440310955,1.173655987
Inwido,Byggmaterial,6.710646152,0.4384287,0.769976199
Gränges,Industrikomponenter,7.224032879,0.36186251,1.004726052
Safeture,Säkerhet & Bevakning,-18.11764908,10.35441971,23.50023079
Thule,Bil & Motor,18.79339027,2.357851982,3.832462072
Sprint Bioscience,Biotech,-3.793246984,2.392271042,7.414803028
Nexstim,Medicinsk Utrustning,-0.201996699,0.40163371,-1.851127982
Bayn Europe,Livsmedel,-4.033233166,8.597399712,7.444849968
Papilly,Hälsovård & Hjälpmedel,-1.711910963,16.1096096,32.94351959
Arcoma,Medicinsk Utrustning,35.84943008,1.698320985,5.064578056
PowerCell,Förnybarenergi,-137.7059937,185.9944,21.99604988
Christian Berner Tech,Industrikomponenter,9.876237869,0.531027317,2.438519955
Absolent,Installation & VVS,50.74124908,3.619750977,8.800771713
Samhällsbyggnadsbolag B,Fastighetsbolag,5.776477814,7.593924046,0.490596592
Italeaf,Investmentbolag,-0.135189906,0.052518111,0.144309506
Lifco,Investmentbolag,23.40797997,2.544523001,4.419081211
NP3,Fastighetsbolag,5.736954212,4.499442101,1.093343019
AHA World,Betting & Casino,-1.561462045,2.850162029,1.583423018
Alteco Medical,Medicinsk Utrustning,-6.835591793,9.345355034,9.340467453
Ambia Trading,Elektroniska komponenter,-0.401716888,0.004695675,0.142050207
Axkid,Bil & Motor,33.93574297,0.610131011,1.754106254
BrainCool,Medicinsk Utrustning,-2.403543949,11.66477966,3.348886013
C Security,Säkerhet & Bevakning,-3.752310536,12.30374744,6.410887972
DexTech Medical,Biotech,-135.9510956,1086.348999,64.75013733
Igrene,Olja & Gas - Exploatering,-1.941920996,52.55643082,1.006502032
RootFruit,Livsmedel,64.41718292,0.2631661,1.372055054
Zenicor Medical,Medicinsk Utrustning,-30.69599915,2.126235008,3.294979095
Oboya Horticulture,Förpackning,-3.475894928,0.109135002,0.398532599
Real Heart,Medicinsk Utrustning,-8.602948189,243.8358002,2.713548899
Greater Than,Mätning & Analys,-30.06059074,44.82498169,35.9851799
Ecoclime,Energi & Återvinning,-81.16385651,1.706861019,1.186153054
QBNK,Affärs- & IT-System,58.91353989,3.705564022,12.47959042
Phase Holographic,Medicinsk Utrustning,-15.10898018,85.67474365,11.15581036
Emotra,Medicinsk Utrustning,-2.785985947,2177.093018,9.113940239
Envirologic,Industrimaskiner,88.46154022,2.226658106,2.527632952
EQL Pharma,Läkemedel,279.8076923,6.195576019,5.2367387
Tourn,Marknadsföring,-7.146430016,0.876907587,-98.96305084
Josab Water Solutions,Energi & Återvinning,-6.494522692,38.72081907,4.471402959
Storytel,Media & Publicering,-30.73184967,5.145803928,28.07942963
Motion Display,Marknadsföring,-5.03084898,0.731507719,1.812733054
OptiFreeze,Jordbruk,-30.24691358,45.20911865,11.05133831
Ortoma,Medicinsk Utrustning,-62.19709208,50.86725515,5.375258739
ProstaLund,Medicinsk Utrustning,-4.258812904,3.497106075,2.026974916
Saniona,Biotech,-8.779661179,250.3276978,11.38613033
Serstech,Mätning & Analys,-9.406952858,6.083395958,2.927342892
SyntheticMR,Medicinsk Utrustning,214.5178986,16.21832085,18.26759911
RLS Global,Läkemedel,-9.598917961,189.6665039,4.918279171
Enzymatica,Hälsoprodukter,-27.46602058,18.35783005,9.44141674
Spago Nanomedical,Biotech,-5.514514619,5.861356824,0.809800844
Sivers IMA,Elektronik & Tillverkning,-14.12088966,7.61815691,3.702792883
Safe at Sea,Industrimaskiner,-1.83950305,1.051355958,1.69284904
Recyctec,Energi & Återvinning,-1.063516021,2.644323111,1.946019053
Angler Gaming,Betting & Casino,12.04752998,2.730808093,7.396270673
Peptonic Medical,Biotech,-6.95381403,38.09291077,1.987440944
Ngage Group,Gaming & Spel,-0.262221396,1.921831012,-5.687953949
ECOMB,Energi & Återvinning,-95.38461304,2.139369011,1.449092984
EcoRub,Energi & Återvinning,-1.511789182,2.041090523,1.078191124
Alphahelix,Medicinsk Utrustning,-117.3469009,7.068853855,84.85587311
Amnode,Industrikomponenter,-0.238095238,0.049969525,0.244581193
Amhult 2,Fastighetsbolag,21.55825996,9.360818863,0.750835717
Umida Group,Bryggeri,-2.291276932,0.794204414,3.503887892
AQ Group,Industrikomponenter,9.971739769,0.500515103,1.295691967
AroCell,Biotech,-3.051911116,142.8450012,0.787019908
Archelon,Gruv - Prospekt & Drift,-3.763441086,1464.582031,2.495028973
Botnia Exploration,Gruv - Prospekt & Drift,-24.87561989,70.19927979,1.463628054
EasyFill,Bygginredning,-3.878066063,0.893055379,1.525081038
European institute,Biotech,-1.344758987,10.52285957,2.941617966
Gullberg & Jansson,Energi & Återvinning,10.0436697,0.762586117,2.277185917
Challenger Mobile,Telekomtjänster,-3.565217018,29.45038986,-3.231018066
Eurocon,IT-Konsulter,25.92301941,0.539560795,1.658576012
Slottsviken B,Fastighetsbolag,6.402049065,0.763061821,0.506159902
Signatur Fastigheter,Fastighetsbolag,8.718324661,5.975806236,0.692960382
Smart Energy,Olja & Gas - Försäljning,21.11111111,0.026070479,0.29016751
Bahnhof,Bredband & Telefoni,23.81889764,2.012821227,6.968360835
Clinical Laserthermia,Medicinsk Utrustning,-4.295433998,28.89788055,22.59465027
Jojka Communications,Marknadsföring,-30.63063049,0.482206494,2.764941931
Latvian Forest,Skogsbolag,8.20443821,9.974099159,0.515342176
Medfield,Medicinsk Utrustning,-14.91117001,24.25638962,2.206861019
Net Gaming Europe,Betting & Casino,3.816684008,1.316576004,0.722495377
TiksPac,Energi & Återvinning,8.947211266,1.039304972,1.346444011
Wonderful Times,Fritid & Sport,11.71131992,0.413490295,0.764127791
iZafe,Medicinsk Utrustning,-1.787248969,2.883372068,1.119804978
Miris,Medicinsk Utrustning,-1.880342007,3.531151056,2.664177895
Consensus,Kapitalförvaltning,23.51350975,1.848695993,2.937315941
SensoDetect,Medicinsk Utrustning,-6.068052769,11.5285902,4.345431805
HomeMaid,Konsumentservice,-25.15236092,0.329907894,6.219144821
IDL Biotech,Medicinsk Utrustning,-50.40184021,7.917669773,7.372591019
MedicPen,Hälsovård & Hjälpmedel,-6.150000095,31.84859085,3.441342115
NGS,Bemanning,9.790348053,0.2442009,0.602139771
Transferator A,Investmentbolag,-17.23646927,2.904814959,1.816048026
Everysport Media,Marknadsföring,-6.960262775,0.39441371,3.446007013
Exalt,Telekomtjänster,34.375,0.607316196,1.008723974
True Heading,Affärskonsulter,-3.763066202,0.962388438,0.92973913
Future Gaming,Betting & Casino,-0.227642298,0.548095882,0.491058797
Vindico Security,Säkerhet & Bevakning,-4.838709831,0.708801508,-14.73095036
Arbona B,Investmentbolag,42.28855896,1.709321022,0.700647712
Star Vault,Gaming & Spel,-6.073297977,19.67881012,2.949321985
