Bolagsnamn,Lista,Sektor,Bransch,Ticker,Kursutveckling,Direktavkastning,PE,PS,PB,Kursutveckling2,Direktavkastning2,PE2,PS2,PB2,Kursutveckling3,Direktavkastning3,PE3,PS3,PB3
Boliden,Large Cap,Material,Gruv - Industrimetaller,BOL,-0.324357185,0.083120203,9.191897392,1.065047979,1.283403039,0.031070161,0.036272321,8.66508387,8.410516956,1.11834112,-0.209911728,0.046863732,6.706736088,6.509703159,0.86559099
Bong Ljungdahl,Small Cap,Material,Förpackning,BONG,-0.131840801,0.020930231,-6.248880863,0.068067729,0.278836906,0.116370811,0.022968198,8.702390544,9.01944374,1.688683128,-0.070140281,0.02801724,7.134115219,7.394032001,1.384361982
Brinova,Small Cap,Finans & Fastighet,Fastighetsbolag,BRIN B,0.398373871,0.01845927,10.88331985,6.661929131,1.236963034,-0.211072674,0.006578947,54.83669248,11.77692887,15.61044053,-0.275,0.006896552,52.31132126,11.23456955,14.89153957
BTS Group,Mid Cap,Industri,Affärskonsulter,BTS B,0.033549767,0.06987577,24.35354996,1.967951059,4.372165203,-0.071651092,0.083892617,13.05345785,0.531745117,2.610824602,0.113521309,0.081168833,13.49149036,0.549588919,2.698436022
Bure Equity,Mid Cap,Finans & Fastighet,Investmentbolag,BURE,0.060697155,0.0279354,2.894824028,2.632803917,0.902880013,0.070866094,0.040849673,14.09001957,1.08064515,1.6718201,0.061433387,0.040192928,14.32024956,1.09830296,1.699136972
Byggmax,Mid Cap,Sällanköpsvaror,Detaljhandel,BMAX,-0.18408823,0.04347826,12.08810043,0.32421121,1.142104983,0.725490189,0.193181818,-3.221071665,3.631086037,4.2360181,0.690195999,0.197215805,-3.155185938,3.556813955,4.149372101
Castellum,Large Cap,Finans & Fastighet,Fastighetsbolag,CAST,-0.099746389,0.025198939,7.724594116,7.497656822,0.996958673,0.306451721,0.037037037,1.89824471,6.150959625,0.723332379,0.188976421,0.0397351,1.769351959,5.733302116,0.674217224
Catena,Mid Cap,Finans & Fastighet,Fastighetsbolag,CATE,0.18577076,0.03030303,9.225149155,9.561247826,1.790122986,0.047368402,0.050879397,21.54029334,5.297786985,8.303983347,-0.16666666,0.0648,16.91292,4.159695148,6.520086765
Qliro Group,Mid Cap,Informationsteknik,Betalning & E-handel,QLRO,-0.539525719,0.007944915,-6.334965229,0.237551197,0.785670221,-0.08719348,0.049253731,8.657449283,4.861005394,1.062270627,-0.235254211,0.058510642,7.287763119,4.091950893,0.894209921
CellaVision,Mid Cap,Hälsovård,Medicinsk Utrustning,CEVI,-0.018243222,0.027378509,69.89273071,15.01041985,19.89646912,-0.075999985,0.054112554,16.14396785,0.782893023,1.630145495,-0.198656406,0.059880242,14.58897018,0.707484484,1.473129034
Clas Ohlson,Mid Cap,Sällanköpsvaror,Detaljhandel,CLAS B,0.056527548,0.01456311,13.75430965,0.560295224,2.751003027,0.045045047,0.023275862,6.562756358,17.33906853,0.862970882,-0.040492945,0.024770639,6.16672802,16.2927494,0.810895026
Cloetta,Mid Cap,Dagligvaror,Livsmedel,CLA B,-0.058584237,0.01343706,13.31875038,1.021492004,1.580307007,-0.37826088,0.050699301,13.66557565,0.179711889,0.728295859,-0.466591187,0.061571131,11.25259972,0.147979498,0.599698186
Concordia Maritime,Small Cap,Energi,Olja & Gas - Transport,CCOR B,-0.09999999,0.02507163,-4.521770954,0.406881213,0.439490199,-0.213973789,0.090277778,10.63861225,0.102786561,0.926910891,-0.349557533,0.110544205,8.688199997,0.083942361,0.756977201
Consilium,Small Cap,Informationsteknik,Säkerhet & Bevakning,CONS B,0.666666641,0.030209141,-3.843323946,4.332546234,5.054339886,-0.367889519,0.055428758,17.56606605,0.370418722,1.953061686,-0.455882301,0.064712601,15.04598999,0.317277491,1.67287004
Corem A,Mid Cap,Finans & Fastighet,Fastighetsbolag,CORE A,0.538461533,0.01448995,2.343512058,7.59377718,0.893002927,-0.362691078,0.024677817,22.99133176,1.898164127,3.397348132,-0.389223557,0.02500695,22.68873024,1.873180985,3.352633953
CTT Systems,Small Cap,Industri,Installation & VVS,CTT,0.07364337,0.429864197,22.48741913,5.530729771,8.669108391,0.071225076,0.019946809,15.75892202,0.880060342,1.123751806,-0.03197681,0.022522521,13.95670986,0.779415071,0.995237589
Diamyd Medical,First North,Hälsovård,Biotech,DMYD B,1.211442871,0.084291191,96.94656372,27.13167953,13.20617008,-0.302288342,0.024598229,90.63614744,0.886724174,2.46070886,-0.236824436,0.02203938,101.1593018,0.989676118,2.746406078
Diös,Mid Cap,Finans & Fastighet,Fastighetsbolag,DIOS,-0.206192379,0.035400741,7.785243988,4.371276855,0.9552508,-0.288863087,0.073409462,14.03677498,0.083732149,6.684156932,-0.379310341,0.08333333,12.36518002,0.073760793,5.888164997
Doro,Small Cap,Sällanköpsvaror,Hemelektronik,DORO,-0.186903191,0.01704918,9.091741562,0.343299508,0.905892611,-0.007227174,0.025048924,7.035931442,14.79609804,1.054648498,-0.159741526,0.02930403,6.014276028,12.6476202,0.901507676
Duni,Mid Cap,Dagligvaror,Hygienprodukter,DUNI,-0.258034039,0.037518041,13.71537971,0.665120184,1.384917974,-0.476351357,0.038709677,11.68259519,0.757099198,1.07964944,-0.567039108,0.048387098,9.346076012,0.605679274,0.863719523
Duroc,Small Cap,Industri,Industrikomponenter,DURC B,-0.203773575,0.0204918,5.305640221,0.245414704,0.793080211,0.100521221,0.025710419,4.255858284,7.94136893,1.060278403,-0.126199656,0.03114754,3.51295495,6.555121899,0.87519598
Eastnine,Mid Cap,Finans & Fastighet,Fastighetsbolag,EAST,-0.014705938,0.01812788,6.064891815,16.02368927,0.797504127,-0.037037089,0.057692308,10.86048454,0.356051958,1.431314968,-0.12820509,0.063025212,9.941520691,0.325924486,1.310204029
Elanders,Mid Cap,Sällanköpsvaror,Media & Publicering,ELAN B,-0.414285736,0.042806182,12.73383045,0.167458802,0.678639412,-0.25134264,0.017216643,14.67646501,1.457169577,2.813907668,-0.414860687,0.021164019,11.93910027,1.185387969,2.28907609
Electra Gruppen,Small Cap,Sällanköpsvaror,Hemelektronik,ELEC,-0.136865358,0.008049242,11.55471992,0.1116376,1.006728053,-0.280508499,0.035335689,25.65729828,2.282486408,2.246366297,-0.28101265,0.03521127,25.74795914,2.290551901,2.254303932
Electrolux B,Large Cap,Sällanköpsvaror,Hemelektronik,ELUX B,-0.490893707,0.02055582,13.76877022,0.290344507,1.530864,0.390810013,0.010217984,32.72038337,1.505475206,1.906447146,0.604020653,0.008743806,38.23693085,1.75929296,2.22786808
Elekta,Large Cap,Hälsovård,Medicinsk Utrustning,EKTA B,-0.216757755,0.048438692,27.10795975,2.238033056,4.005648136,-0.094101133,0.023255814,24.46889226,0.667564002,2.178705664,-0.166666622,0.024291501,23.42564964,0.639101982,2.085814953
Elos,Small Cap,Hälsovård,Medicinsk Utrustning,ELOS B,0,0.01572327,15.92656994,0.889422715,1.135707021,-0.050168147,0.035408675,19.8626203,0.571426962,2.014193931,0.126041069,0.0295858,23.77185059,0.683891416,2.410614014
Enea,Mid Cap,Informationsteknik,IT-Konsulter,ENEA,-0.047945204,0.027808681,16.38184929,2.74703598,1.876729965,0.047017522,0.016085791,8.505786443,15.85730175,1.118634168,-0.027561793,0.01744186,7.844479084,14.6244297,1.031662941
Eniro,Small Cap,Sällanköpsvaror,Marknadsföring,ENRO,-0.662068939,0.0329302,-0.061436869,0.036919739,-0.125031695,-0.025993237,0.073919636,16.2386428,0.937872441,3.825097689,-0.154852924,0.08482687,14.15063953,0.817278683,3.333257914
EnQuest,Mid Cap,Energi,Olja & Gas - Exploatering,ENQ,-0.533282928,0.0686378,1.723464012,0.139760301,0.2018722,-0.158856459,0.016684385,19.30496216,3.470018138,2.236186859,-0.109426212,0.015022089,21.44119072,3.853998899,2.483635902
Ericsson B,Large Cap,Informationsteknik,Kommunikation,ERIC B,-0.110940914,0.0363901,120.778801,1.181620002,3.279062033,-0.28853756,0.042592593,12.05384049,1.198533273,1.905171587,-0.385477676,0.04767828,10.76809978,1.070690036,1.701953053
Etrion,Small Cap,Kraftförsörjning,Solkraft,ETX,0.03324811,0.04739336,-11.50996971,2.568109989,-18.12257004,-0.414979095,0.093406593,11.52920309,1.100462412,2.498632313,-0.483064537,0.106084204,10.15139961,0.968951106,2.200031996
eWork,Small Cap,Informationsteknik,IT-Konsulter,EWRK,-0.257208729,0.005370569,14.74662971,0.087966561,7.022181034,-0.323116264,0.017924528,24.0898141,3.266949309,4.972440882,-0.350617294,0.01806084,23.90800095,3.242292881,4.934913158
Fabege,Large Cap,Finans & Fastighet,Fastighetsbolag,FABG,-0.141947546,0.02314815,6.308930874,13.2672596,0.945675015,0.170912075,0.030701754,4.386918517,2.08970353,0.95490454,0.252029266,0.028363049,4.748647213,2.262012005,1.033642054
Fagerhult,Mid Cap,Industri,Bygginredning,FAG,-0.554838715,0.040733199,10.4012804,0.67406249,0.961236298,-0.060179219,0.026566757,9.623705258,15.28359015,0.964857989,-0.262141991,0.032911389,7.768454075,12.33722973,0.778853416
Fastpartner,Large Cap,Finans & Fastighet,Fastighetsbolag,FPAR A,0.074074144,0.01135371,4.342241764,8.102560043,1.081799984,-0.329719696,0.044378698,11.47630042,0.685961634,1.678166773,-0.445089035,0.05470459,9.310063362,0.556481302,1.361400008
Fast Balder,Large Cap,Finans & Fastighet,Fastighetsbolag,BALD B,0.26614542,0.01982161,7.484940052,8.811934471,1.141762018,-0.55703125,0.026455026,19.03514956,3.810754438,2.610881757,-0.586156654,0.026408451,19.06871986,3.81747508,2.615485907
Feelgood,Small Cap,Hälsovård,Hälsovård & Hjälpmedel,FEEL,-0.180851059,0.094984798,9.649123192,0.316338509,1.271667957,-0.041825094,0.018849206,20.53823208,1.65322731,4.245128033,-0.092565575,0.01907631,20.29372978,1.633545995,4.194591045
Fenix Outdoor,Large Cap,Sällanköpsvaror,Kläder & Skor,FOI B,-0.177228794,0.01107011,16.12936974,1.601423025,3.092472076,-0.180929146,0.567164179,0.908006722,0.311855616,0.752850071,-0.098795195,0.508021393,1.013715029,0.348161191,0.840495288
Fingerprint Cards,Mid Cap,Informationsteknik,Biometri,FING B,0.085041752,0.044985938,-330.0231018,3.075954914,2.494072914,-0.509670525,0.080350621,-49.58348424,1.122845493,0.815330481,-0.531726341,0.083270254,-47.84497833,1.083475947,0.786743283
Formpipe Software,Small Cap,Informationsteknik,Affärs- & IT-System,FPIP,-0.157446842,0.05037313,29.91839981,2.661556005,2.619437933,0.042629261,0.065945661,8.449492496,0.845377055,1.810763957,-0.087595243,0.074537859,7.475493908,0.747927904,1.602031946
Getinge,Large Cap,Hälsovård,Hälsovård & Hjälpmedel,GETI B,0.656140366,0.02248033,42.08179855,1.936197042,2.451888084,-0.298657722,0.019138756,7.970345738,0.398854962,0.862844037,-0.324324341,0.02,7.627124786,0.381679386,0.825688124
GHP Specialty Care,Small Cap,Hälsovård,Sjukhus & Vårdhem,GHP,-0.017793595,0.041031651,26.17601967,0.71413821,2.330708981,0.27822588,0.031545741,4.354395604,3.594351292,0.648881004,0.04,0.03846154,3.571429014,2.948048115,0.532205224
Gunnebo,Mid Cap,Industri,Säkerhet,GUNN,-0.413988686,0.048674588,28.1255703,0.231827095,0.864442587,-0.325531883,0.050473186,10.4738855,0.729220713,1.98516366,-0.413897285,0.05498282,9.614829063,0.669410825,1.822342992
ICA Gruppen,Large Cap,Dagligvaror,Livsmedelsbutiker,ICA,0.268963509,0.06341464,25.68836021,0.739027619,2.604960918,0.127809076,0.03237858,7.811967974,7.238035865,1.002845431,-0.078804288,0.038348081,6.595908165,6.111318111,0.846736312
Haldex,Mid Cap,Industri,Industrikomponenter,HLDX,-0.563182526,0.019375,247.5684967,0.240285799,0.805277824,0.04214561,0.022977941,19.96586718,1.776961698,4.558962376,-0.013232528,0.023946359,19.15842056,1.705098987,4.374592781
Heba,Mid Cap,Finans & Fastighet,Fastighetsbolag,HEBA B,0.11728816,0.08505703,9.395131111,17.51530075,1.235595942,-0.002217261,0.061111111,6.988337242,0.371940123,0.765217391,-0.183222942,0.074324331,5.745965958,0.305817395,0.629178822
Hennes & Mauritz,Large Cap,Sällanköpsvaror,Kläder & Skor,HM B,-0.174374161,0.02111486,15.21175957,0.936272621,3.740981102,-0.004999987,0.023031826,14.32754152,5.555541724,2.934334187,0.007383114,0.02239414,14.7355299,5.713739872,3.01789093
Hexagon,Large Cap,Industri,Mätning & Analys,HEXA B,-0.134079285,0.01383126,21.76186943,3.911640882,2.520781994,0.01711484,0.043269231,9.367048704,0.643316694,1.263342431,-0.101516886,0.04675324,8.669024467,0.595377207,1.16919899
Hexpol,Large Cap,Material,Kemikalier,HPOL B,-0.321785088,0.064516129,12.89091015,1.281764984,2.037475109,-0.222925892,0.044824776,11.22326243,0.877849582,1.925924374,-0.403519821,0.057955742,8.680420876,0.678956211,1.489570022
HiQ,Mid Cap,Informationsteknik,IT-Konsulter,HIQ,-0.373251801,0.051252851,11.35499954,1.083835006,2.460877895,0.226080742,0.00982659,7.194439073,3.962502886,1.056800828,0.337500038,0.008826584,8.009531975,4.411434174,1.176530957
HMS Networks,Mid Cap,Informationsteknik,Kommunikation,HMS,-0.255789509,0.06078187,32.13489914,4.357986927,6.633049011,-0.187134495,0.024048146,16.67204872,1.473263286,0.739046105,-0.076294289,0.02136431,18.7664299,1.658337951,0.831887007
Holmen B,Large Cap,Material,Skogsbolag,HOLM B,0.332061081,0.02220166,5.372050762,2.558969975,1.169338942,-0.501971054,0.113271768,6.084272797,1.702071275,-3.139165354,-0.510436745,0.1126402,6.118385792,1.711614966,-3.156765938
Hufvudstaden A,Large Cap,Finans & Fastighet,Fastighetsbolag,HUFV A,-0.19913147,0.056882672,8.463354111,13.4408102,0.848523021,-0.36285717,0.033632287,10.28787599,0.580175809,1.169839901,-0.37574852,0.03597122,9.618933678,0.542451382,1.093773961
Husqvarna B,Large Cap,Sällanköpsvaror,Hemelektronik,HUSQ B,-0.367391853,0.04,11.71623993,0.700303316,1.713253021,-0.101371918,0.008481764,8.043608776,0.276442486,0.766322803,-0.199115086,0.009208103,7.409125805,0.254636586,0.70587492
I.A.R Systems,Mid Cap,Informationsteknik,Affärs- & IT-System,IAR B,-0.498113213,0.006687898,22.32518005,4.46940279,3.062144995,-0.156296282,0.028533802,13.04098924,2.588811864,3.744127837,-0.18115942,0.02876106,12.93793964,2.568356037,3.714543104
Image Systems,Small Cap,Informationsteknik,Affärs- & IT-System,IS,-0.247787647,0.046768708,-16.26275063,0.537264585,0.86035502,-0.362708778,0.036390102,17.06154075,0.537146592,0.712725517,-0.230769215,0.02976191,20.8612709,0.65677309,0.871454775
Indutrade,Large Cap,Industri,Industrikomponenter,INDT,-0.026969397,0.032991199,22.34754944,1.798869014,4.619102955,0.018867997,0.037037037,9.800955896,0.541743467,0.896523493,-0.196318951,0.04580153,7.925464153,0.438076496,0.724966526
ICTA,Small Cap,Industri,Affärskonsulter,ICTA,0.040000019,0.057906461,1.198027015,0.411463201,0.993312716,-0.471929817,0.083585382,21.34615521,0.733523095,1.320280672,-0.574586601,0.102942696,17.33222961,0.595591486,1.072015047
Intrum,Large Cap,Finans & Fastighet,Kredit & Finansiering,INTRUM,-0.493006973,0.045135412,-47.26548004,1.070353031,0.777214229,-0.420558548,0.065,-4.908698213,0.194006829,0.372687782,-0.427745667,0.065656571,-4.859611034,0.192066804,0.368960887
ITAB Shop Concept,Mid Cap,Industri,Bygginredning,ITAB B,-0.469565239,0.007417582,10.4095602,0.205981597,0.71457243,-0.815463257,0.105966743,-7.482677857,971.9252145,0.79608163,-0.803937988,0.098904448,-8.016980171,1041.32605,0.852926075
JM,Large Cap,Industri,Bostadsbyggnation,JM,-0.013687134,0.02522522,7.869997025,0.787398219,1.686575055,0.242774639,0.058139535,4.618689581,0.425903841,1.0719259,0.24285717,0.057471271,4.672395229,0.430856198,1.084390044
Kabe,Small Cap,Sällanköpsvaror,Bil & Motor,KABE B,-0.224422436,0.037037041,8.961872101,0.448473305,0.970183492,-0.098207865,0.039745628,15.56295078,0.233307003,4.463337714,-0.226515446,0.04582952,13.49695969,0.202335402,3.870827913
Karo Pharma,Mid Cap,Hälsovård,Biotech,KARO,0.440162315,0.049586778,1051.852051,4.909601212,1.654425025,0.003539836,0.022045855,17.61416589,0.923295076,2.885849804,0.028820987,0.02122241,18.29760933,0.959119618,2.997823
Klövern A,Large Cap,Finans & Fastighet,Fastighetsbolag,KLOV A,0.210317421,0.041118422,4.189559937,3.458287001,0.624317706,-0.505868874,0.057937428,9.637612374,2.305315612,4.320403459,-0.513937263,0.059737158,9.347255707,2.235862017,4.19024086
KnowIT,Mid Cap,Informationsteknik,IT-Konsulter,KNOW,-0.334615402,0.0132626,11.43206024,0.795931816,2.166771889,-0.33986927,0.054455446,7.138061416,0.388251988,0.713908374,-0.419597969,0.06349206,6.122125149,0.332993388,0.612300217
Kungsleden,Large Cap,Finans & Fastighet,Fastighetsbolag,KLED,-0.05650094,0.037037041,6.741836071,6.246523857,0.865469277,0.05249681,0.01135442,28.63845403,2.452259995,3.530173415,0.027694931,0.01160862,28.01133919,2.398561001,3.452869892
Lagercrantz,Mid Cap,Industri,Elektroniska komponenter,LAGR B,0.053540559,0.568561897,22.38820076,1.992548943,5.112071991,-0.143840618,0.084638172,9.842347502,0.572300619,1.863957826,-0.407550468,0.1185536,7.026678085,0.408578604,1.330721974
Lammhults Design,Small Cap,Industri,Bygginredning,LAMM B,-0.22173914,0.008173077,5.55960989,0.295899004,0.608772874,0.006015022,0.036123568,15.0750938,1.338270337,3.573082535,0.002506266,0.03625,15.02252007,1.333603024,3.56062007
Latour,Large Cap,Finans & Fastighet,Investmentbolag,LATO B,0.174148617,0.209151592,18.20342064,7.058423042,3.728127956,-0.330151062,0.076709363,13.85161306,2.43664809,0.668205547,-0.386558609,0.082595186,12.86452961,2.263010025,0.620588481
Lindab,Mid Cap,Industri,Installation & VVS,LIAB,-0.206603794,0.028225811,9.468375206,0.650275588,1.277008057,0.028112481,0.046875,8.034397263,0.419970909,1.589567312,0.011764675,0.046511631,8.097166061,0.423251897,1.601986051
Loomis,Large Cap,Industri,Säkerhet,LOOM B,-0.36946106,0.007656968,9.631699562,0.753362417,1.652809978,-0.116719265,0.053571429,11.11640464,0.968984656,2.426819297,-0.215189915,0.060483871,9.84595871,0.858243525,2.149467945
Lundbergföretagen,Large Cap,Finans & Fastighet,Investmentbolag,LUND B,0.401459846,0.0275,8.783038139,4.837460041,1.290151954,0.036649215,0.085858586,15.83113456,1.386840255,4.291919325,-0.057894735,0.094972067,14.31198978,1.25375998,3.880069017
Lundin Mining,Large Cap,Material,Gruv - Prospekt & Drift,LUMI,-0.127527866,0.177069492,19.50453949,1.723562956,0.864606321,-0.117350197,0.060042888,9.863921596,0.382077655,1.682312897,-0.162921295,0.062639818,9.45498085,0.366237402,1.612566948
Lundin Petroleum,Large Cap,Energi,Olja & Gas - Exploatering,LUPE,-0.367127266,0.003846154,7.904336929,2.211232901,-4.078223228,-0.280653934,0.09469697,10.43478261,0.146648848,1.607298172,-0.414666672,0.113895197,8.675889015,0.121929601,1.336370945
Malmbergs Elektriska,Small Cap,Industri,Elektroniska komponenter,MEAB B,-0.300884972,0.008588235,10.93375015,0.616599381,1.243283033,0.679082947,0.02559727,9.273619244,0.371645612,1.584462038,0.378151245,0.0304878,7.786042213,0.312030107,1.33029902
Medivir,Small Cap,Hälsovård,Biotech,MVIR B,-0.267692318,0.02915452,-2.810692072,48.1711998,1.879852057,0.425709572,0.046838407,19.284182,1.878476418,2.325257961,0.209106293,0.055788012,16.19058037,1.577128053,1.95223701
Mekonomen,Mid Cap,Sällanköpsvaror,Bil & Motor,MEKO,-0.355957794,0.03646677,5.826329231,0.200239107,0.555080295,-0.540833359,0.037658802,12.58982532,0.295912497,1.923769935,-0.567685585,0.041919188,11.31027985,0.265837908,1.72825098
Mycronic,Large Cap,Informationsteknik,Elektronik & Tillverkning,MYCR,-0.050746293,0.05061224,14.56377029,2.891104937,4.181325912,-0.528045311,0.006002401,22.10164635,3.031403148,1.647597919,-0.551807213,0.00672043,19.74024963,2.707520008,1.471564054
